scenario_name,scenario_family,case_id,case_label,case_value,baseline,baseline_category,delta_accuracy,delta_accuracy_std,delta_ece,delta_ece_std,delta_log_loss,delta_log_loss_std,effective_sample_size,effective_sample_size_std,subgroup_abstention_gap,subgroup_abstention_gap_std,target_accuracy,target_accuracy_std,target_coverage,target_coverage_std,target_ece,target_ece_std,target_risk_reduction,target_risk_reduction_std,target_selective_ece,target_selective_ece_std,target_selective_risk,target_selective_risk_std,n_runs,experiment_name,concentrated_failures,concentrated_failures_std,masked_accuracy_drop,masked_accuracy_drop_std,masked_calibration_drift,masked_calibration_drift_std,worst_group_accuracy_gap,worst_group_accuracy_gap_std,worst_group_ece_gap,worst_group_ece_gap_std
paper_covariate_shift,covariate_shift_sweep,severity_0_20,severity=0.20,0.2,confidence_abstention,selective,,,,,,,,,,,,,0.8340909090909091,0.03535533905932741,,,0.051564872913187565,0.016566073716110057,0.07618333641970812,0.00808724233970531,0.18479876345044882,0.02299431718144235,2,paper_publication_suite,,,,,,,,,,
paper_covariate_shift,covariate_shift_sweep,severity_0_20,severity=0.20,0.2,raw_model,reliability,0.020454545454545447,0.03535533905932749,0.005249503936745548,0.012785352161037954,0.013542635163774575,0.00384795473424169,,,,,0.7704545454545455,0.016070608663330727,,,0.07500782991163624,0.0003888494863696793,,,,,,,2,paper_publication_suite,,,,,,,,,,
paper_covariate_shift,covariate_shift_sweep,severity_0_20,severity=0.20,0.2,recalibration_only,reliability,0.03636363636363632,0.08356716504931933,-0.06816688695170468,0.020360372615577077,-0.015121561462422634,0.09967123636824332,,,,,0.7636363636363637,0.006428243465332331,,,0.06394629576857619,0.0076285707825090344,,,,,,,2,paper_publication_suite,,,,,,,,,,
paper_covariate_shift,covariate_shift_sweep,severity_0_20,severity=0.20,0.2,weighting_only,reliability,0.020454545454545447,0.03535533905932749,0.005249503936745548,0.012785352161037954,0.013542635163774575,0.00384795473424169,179.79852276975666,3.301649007705963,,,0.7704545454545455,0.016070608663330727,,,0.07500782991163624,0.0003888494863696793,,,,,,,2,paper_publication_suite,,,,,,,,,,
paper_covariate_shift,covariate_shift_sweep,severity_0_80,severity=0.80,0.8,confidence_abstention,selective,,,,,,,,,,,,,0.8454545454545455,0.006428243465332213,,,0.025209567856626702,0.013341926620017958,0.06736464074951475,0.0027533690702693917,0.20433588668882785,0.009156925508644945,2,paper_publication_suite,,,,,,,,,,
paper_covariate_shift,covariate_shift_sweep,severity_0_80,severity=0.80,0.8,raw_model,reliability,0.013636363636363613,7.850462293418876e-17,-0.0002466864710711468,0.0029916767775008076,0.0035877483201599003,0.005807822125219509,,,,,0.7636363636363637,0.01928473039599668,,,0.06951163950381953,0.009404825897167478,,,,,,,2,paper_publication_suite,,,,,,,,,,
paper_covariate_shift,covariate_shift_sweep,severity_0_80,severity=0.80,0.8,recalibration_only,reliability,0.043181818181818155,0.054640069455324125,-0.06124173330537108,0.007214013626251487,-0.024879068933971238,0.10234192719128286,,,,,0.7704545454545455,0.02249885212866286,,,0.07087144941490978,0.005517788206816546,,,,,,,2,paper_publication_suite,,,,,,,,,,
paper_covariate_shift,covariate_shift_sweep,severity_0_80,severity=0.80,0.8,weighting_only,reliability,0.013636363636363613,7.850462293418876e-17,-0.0002466864710711468,0.0029916767775008076,0.0035877483201599003,0.005807822125219509,108.76311257487669,0.7227104286895443,,,0.7636363636363637,0.01928473039599668,,,0.06951163950381953,0.009404825897167478,,,,,,,2,paper_publication_suite,,,,,,,,,,
paper_covariate_shift,covariate_shift_sweep,severity_1_40,severity=1.40,1.4,confidence_abstention,selective,,,,,,,,,,,,,0.8477272727272727,0.02249885212866294,,,0.03457787538891938,0.012361011161694406,0.05010076214595292,0.009684296478311687,0.19269485188380786,0.02521749809235891,2,paper_publication_suite,,,,,,,,,,
paper_covariate_shift,covariate_shift_sweep,severity_1_40,severity=1.40,1.4,raw_model,reliability,0.025000000000000022,0.028927095593995193,-0.0057973564052863115,0.00038631747707594256,-0.006049998196803796,0.038023323312133255,,,,,0.775,0.009642365197998399,,,0.06396096956960437,0.012010185197592338,,,,,,,2,paper_publication_suite,,,,,,,,,,
